route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
28C,MTC,,,,3,,,
28GS,MTC,,,,3,,,
29A,MTC,,,,3,,,
29AEA,MTC,,,,3,,,
29AEB,MTC,,,,3,,,
29AGS,MTC,,,,3,,,
29B,MTC,,,,3,,,
29BET,MTC,,,,3,,,
29C,MTC,,,,3,,,
29CEA,MTC,,,,3,,,
29CEB,MTC,,,,3,,,
29CET,MTC,,,,3,,,
29CGS,MTC,,,,3,,,
29DET,MTC,,,,3,,,
29E,MTC,,,,3,,,
29ET,MTC,,,,3,,,
29K,MTC,,,,3,,,
29NET,MTC,,,,3,,,
29T,MTC,,,,3,,,
2A,MTC,,,,3,,,
2AGS,MTC,,,,3,,,
32,MTC,,,,3,,,
32B,MTC,,,,3,,,
32BGS,MTC,,,,3,,,
32ET,MTC,,,,3,,,
33,MTC,,,,3,,,
37C,MTC,,,,3,,,
37D,MTC,,,,3,,,
37DGS,MTC,,,,3,,,
37E,MTC,,,,3,,,
37ECT,MTC,,,,3,,,
37G,MTC,,,,3,,,
38A,MTC,,,,3,,,
38C,MTC,,,,3,,,
38CGS,MTC,,,,3,,,
38D,MTC,,,,3,,,
38GNH,MTC,,,,3,,,
38H,MTC,,,,3,,,
38HET,MTC,,,,3,,,
38HGS,MTC,,,,3,,,
38S,MTC,,,,3,,,
3A,MTC,,,,3,,,
41F,MTC,,,,3,,,
42,MTC,,,,3,,,
42A,MTC,,,,3,,,
42B,MTC,,,,3,,,
42C,MTC,,,,3,,,
42D,MTC,,,,3,,,
42GS,MTC,,,,3,,,
44,MTC,,,,3,,,
44A,MTC,,,,3,,,
44B,MTC,,,,3,,,
44C,MTC,,,,3,,,
44CGS,MTC,,,,3,,,
44CT,MTC,,,,3,,,
44NH,MTC,,,,3,,,
45B,MTC,,,,3,,,
45E,MTC,,,,3,,,
46,MTC,,,,3,,,
46ACT,MTC,,,,3,,,
46C,MTC,,,,3,,,
46ET,MTC,,,,3,,,
46G,MTC,,,,3,,,
46GNS,MTC,,,,3,,,
46GS,MTC,,,,3,,,
46NS,MTC,,,,3,,,
47,MTC,,,,3,,,
47DCT,MTC,,,,3,,,
47GS,MTC,,,,3,,,
48,MTC,,,,3,,,
48A,MTC,,,,3,,,
48AET,MTC,,,,3,,,
48C,MTC,,,,3,,,
48GS,MTC,,,,3,,,
49,MTC,,,,3,,,
49B,MTC,,,,3,,,
49G,MTC,,,,3,,,
49GS,MTC,,,,3,,,
49R,MTC,,,,3,,,
50,MTC,,,,3,,,
500,MTC,,,,3,,,
500A,MTC,,,,3,,,
500GS,MTC,,,,3,,,
50ET,MTC,,,,3,,,
51,MTC,,,,3,,,
51A,MTC,,,,3,,,
51AET,MTC,,,,3,,,
51AGS,MTC,,,,3,,,
51B,MTC,,,,3,,,
51BET,MTC,,,,3,,,
51CT,MTC,,,,3,,,
51E,MTC,,,,3,,,
51F,MTC,,,,3,,,
51GET,MTC,,,,3,,,
51GS,MTC,,,,3,,,
51K,MTC,,,,3,,,
51M,MTC,,,,3,,,
51N,MTC,,,,3,,,
51P,MTC,,,,3,,,
51T,MTC,,,,3,,,
51TCT,MTC,,,,3,,,
52,MTC,,,,3,,,
52B,MTC,,,,3,,,
52D,MTC,,,,3,,,
52G,MTC,,,,3,,,
52H,MTC,,,,3,,,
52J,MTC,,,,3,,,
52K,MTC,,,,3,,,
52L,MTC,,,,3,,,
52P,MTC,,,,3,,,
52T,MTC,,,,3,,,
53,MTC,,,,3,,,
53E,MTC,,,,3,,,
53G,MTC,,,,3,,,
53P,MTC,,,,3,,,
53S,MTC,,,,3,,,
547A,MTC,,,,3,,,
54A,MTC,,,,3,,,
54B,MTC,,,,3,,,
54C,MTC,,,,3,,,
54CTNS,MTC,,,,3,,,
54E,MTC,,,,3,,,
54G,MTC,,,,3,,,
54K,MTC,,,,3,,,
54M,MTC,,,,3,,,
54P,MTC,,,,3,,,
54S,MTC,,,,3,,,
54T,MTC,,,,3,,,
54V,MTC,,,,3,,,
55,MTC,,,,3,,,
55A,MTC,,,,3,,,
55AGS,MTC,,,,3,,,
55B,MTC,,,,3,,,
55C,MTC,,,,3,,,
55D,MTC,,,,3,,,
55ET,MTC,,,,3,,,
55G,MTC,,,,3,,,
55T,MTC,,,,3,,,
55V,MTC,,,,3,,,
56A,MTC,,,,3,,,
56AGS,MTC,,,,3,,,
56C,MTC,,,,3,,,
56CET,MTC,,,,3,,,
56CGS,MTC,,,,3,,,
56CT,MTC,,,,3,,,
56D,MTC,,,,3,,,
56DET,MTC,,,,3,,,
56DGS,MTC,,,,3,,,
56ET,MTC,,,,3,,,
56F,MTC,,,,3,,,
56G,MTC,,,,3,,,
56K,MTC,,,,3,,,
56M,MTC,,,,3,,,
56N,MTC,,,,3,,,
56NGS,MTC,,,,3,,,
56PCUT,MTC,,,,3,,,
56W,MTC,,,,3,,,
57,MTC,,,,3,,,
57A,MTC,,,,3,,,
57B,MTC,,,,3,,,
57C,MTC,,,,3,,,
57CCT,MTC,,,,3,,,
57D,MTC,,,,3,,,
57DET,MTC,,,,3,,,
57E,MTC,,,,3,,,
57F,MTC,,,,3,,,
57G,MTC,,,,3,,,
57GS,MTC,,,,3,,,
57M,MTC,,,,3,,,
58ACN,MTC,,,,3,,,
58G,MTC,,,,3,,,
58H,MTC,,,,3,,,
58V,MTC,,,,3,,,
59,MTC,,,,3,,,
59A,MTC,,,,3,,,
5ANS,MTC,,,,3,,,
5B,MTC,,,,3,,,
5C,MTC,,,,3,,,
5E,MTC,,,,3,,,
5EGS,MTC,,,,3,,,
5ENS,MTC,,,,3,,,
5T,MTC,,,,3,,,
60,MTC,,,,3,,,
60A,MTC,,,,3,,,
60D,MTC,,,,3,,,
60H,MTC,,,,3,,,
61A,MTC,,,,3,,,
61C,MTC,,,,3,,,
61ECT,MTC,,,,3,,,
61K,MTC,,,,3,,,
61R,MTC,,,,3,,,
61RNH,MTC,,,,3,,,
62A,MTC,,,,3,,,
62AGS,MTC,,,,3,,,
62B,MTC,,,,3,,,
62CT,MTC,,,,3,,,
64A,MTC,,,,3,,,
64BN,MTC,,,,3,,,
64C,MTC,,,,3,,,
64CGS,MTC,,,,3,,,
64D,MTC,,,,3,,,
